player_name,team,salary,contract_type
LeBron James,CLE,"$30,963,450",Early Bird
Mike Conley,MEM,"$26,540,100",Cap Space
DeMar DeRozan,TOR,"$26,540,100",Cap Space
James Harden,HOU,"$26,540,100",Bird Rights
Al Horford,BOS,"$26,540,100",Cap Space
Russell Westbrook,OKC,"$26,540,100",Bird Rights
Kevin Durant,GSW,"$26,540,100",Cap Space
Dirk Nowitzki,DAL,"$25,000,000",Bird Rights
Carmelo Anthony,NYK,"$24,559,380",Bird Rights
Damian Lillard,POR,"$24,328,425",1st Round Pick
Chris Bosh,MIA,"$23,741,060",Bird Rights
Dwyane Wade,CHI,"$23,200,000",Cap Space
Dwight Howard,ATL,"$23,180,275",Cap Space
Chris Paul,LAC,"$22,868,828",Bird Rights
Bradley Beal,WAS,"$22,116,750",Cap Space
Anthony Davis,NOP,"$22,116,750",1st Round Pick
Andre Drummond,DET,"$22,116,750",Cap Space
Chandler Parsons,MEM,"$22,116,750",Cap Space
Hassan Whiteside,MIA,"$22,116,750",Cap Space
Harrison Barnes,DAL,"$22,116,750",Cap Space
Derrick Rose,NYK,"$21,323,250",Bird Rights
Marc Gasol,MEM,"$21,165,675",Bird Rights
Kevin Love,CLE,"$21,165,675",Bird Rights
DeAndre Jordan,LAC,"$21,165,675",Bird Rights
Brook Lopez,BRK,"$21,165,675",Bird Rights
Nicolas Batum,CHO,"$20,869,566",Cap Space
LaMarcus Aldridge,SAS,"$20,575,005",Cap Space
Blake Griffin,LAC,"$20,140,838",Bird Rights
Paul Millsap,ATL,"$20,072,033",Bird Rights
Ryan Anderson,HOU,"$18,735,364",Cap Space
Allen Crabbe,POR,"$18,500,000",Cap Space
Paul George,IND,"$18,314,532",1st Round Pick
Luol Deng,LAL,"$18,000,000",Cap Space
Kawhi Leonard,SAS,"$17,638,063",Bird Rights
Kyrie Irving,CLE,"$17,638,063",Bird Rights
Jimmy Butler,CHI,"$17,552,209",Bird Rights
Tobias Harris,DET,"$17,200,000",Bird Rights
Enes Kanter,OKC,"$17,145,838",Bird Rights
Wesley Matthews,DAL,"$17,100,000",Cap Space
Greg Monroe,MIL,"$17,100,000",Cap Space
Evan Fournier,ORL,"$17,000,000",Cap Space
Joakim Noah,NYK,"$17,000,000",Cap Space
Bismack Biyombo,ORL,"$17,000,000",Cap Space
John Wall,WAS,"$16,957,900",1st Round Pick
DeMarcus Cousins,SAC,"$16,957,900",1st Round Pick
Klay Thompson,GSW,"$16,663,575",1st Round Pick
Evan Turner,POR,"$16,393,443",Cap Space
Gordon Hayward,UTA,"$16,073,140",Bird Rights
Timofey Mozgov,LAL,"$16,000,000",Cap Space
Ian Mahinmi,WAS,"$15,944,154",Cap Space
Goran Dragic,MIA,"$15,890,000",Bird Rights
Kent Bazemore,ATL,"$15,730,338",Cap Space
Pau Gasol,SAS,"$15,500,000",Cap Space
Draymond Green,GSW,"$15,330,435",Bird Rights
Tristan Thompson,CLE,"$15,330,435",Bird Rights
Khris Middleton,MIL,"$15,200,000",Bird Rights
Danilo Gallinari,DEN,"$15,050,000",
Jeff Green,ORL,"$15,000,000",Cap Space
Reggie Jackson,DET,"$14,956,522",Bird Rights
Tony Parker,SAS,"$14,445,313",Bird Rights
Jonas Valanciunas,TOR,"$14,382,022",1st Round Pick
DeMarre Carroll,TOR,"$14,200,000",Cap Space
Thaddeus Young,IND,"$14,153,652",Bird Rights
Eric Bledsoe,PHO,"$14,000,000",Bird Rights
Rajon Rondo,CHI,"$14,000,000",Cap Space
Manu Ginobili,SAS,"$14,000,000",Cap Space
Ricky Rubio,MIN,"$13,550,000",1st Round Pick
Rudy Gay,SAC,"$13,333,333",Bird Rights
Jamal Crawford,LAC,"$13,253,012",Cap Space
Robin Lopez,CHI,"$13,219,250",Cap Space
Michael Kidd-Gilchrist,CHO,"$13,000,000",1st Round Pick
J.R. Smith,CLE,"$12,800,000",Bird Rights
Brandon Knight,PHO,"$12,606,250",
John Henson,MIL,"$12,517,606",1st Round Pick
Miles Plumlee,MIL,"$12,500,000",Bird Rights
Jordan Clarkson,LAL,"$12,500,000",Cap Space
Arron Afflalo,SAC,"$12,500,000",Cap Space
Tyson Chandler,PHO,"$12,415,000",Cap Space
Eric Gordon,HOU,"$12,385,364",Cap Space
Marvin Williams,CHO,"$12,250,000",Cap Space
Serge Ibaka,ORL,"$12,250,000",Bird Rights
Stephen Curry,GSW,"$12,112,359",Bird Rights
Nikola Pekovic,MIN,"$12,100,000",Bird Rights
Kenneth Faried,DEN,"$12,078,652",1st Round Pick
Marcin Gortat,WAS,"$12,000,000",Bird Rights
Kemba Walker,CHO,"$12,000,000",1st Round Pick
Kyle Lowry,TOR,"$12,000,000",Bird Rights
Amir Johnson,BOS,"$12,000,000",Cap Space
Nikola Vucevic,ORL,"$11,750,000",Bird Rights
Jeremy Lin,BRK,"$11,483,254",Cap Space
Jrue Holiday,NOP,"$11,286,518",Bird Rights
Courtney Lee,NYK,"$11,242,000",Cap Space
Solomon Hill,NOP,"$11,241,218",Cap Space
Wilson Chandler,DEN,"$11,200,000",
Andre Iguodala,GSW,"$11,131,368",Bird Rights
Derrick Favors,UTA,"$11,050,000",1st Round Pick
Andrew Bogut,DAL,"$11,027,027",Bird Rights
Austin Rivers,LAC,"$11,000,000",Cap Space
Joe Johnson,UTA,"$11,000,000",Cap Space
